Publication,Publication date,News url,Article #,Sentence #,Sentence,Word,Pos,Chunk,NER_tag,Mapping,Target,Opinion,Aspect,Sentiment,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
Financial Times,1/6/2011,https://www.ft.com/content/37d31b96-1a0b-11e0-a8d8-00144feab49a,19,18,"Google's attempt to muscle into the field has raised concerns both that it might harm other companies that rely on ITA software, and that it would be in a position to direct users of the Google search engine direct to flights, cutting out other online services.","['Intel', ',', 'which', 'used', 'to', 'dominate', 'the', 'processor', 'market', ',', 'fell', '0.8', 'per', 'cent', 'to', '$', '20.77', '.']","['NNP', ',', 'WDT', 'VBD', 'TO', 'VB', 'DT', 'NN', 'NN', ',', 'VBD', 'CD', 'NN', 'NN', 'IN', '$', 'CD', '.']","['B-NP', 'O', 'B-NP', 'B-VP', 'I-VP', 'I-VP', 'B-NP', 'I-NP', 'I-NP', 'O', 'B-VP', 'B-NP', 'I-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[['Google', ['003JLG-E']], ['Google', ['003JLG-E']]]",[nan],[nan],[nan],[nan],0.0,0.0038314176245210726,0.0,0.0038314176245210726,0.0,0.0038314176245210726,0.0,0.0,0.0,0.0
Financial Times,1/6/2011,https://www.ft.com/content/37d31b96-1a0b-11e0-a8d8-00144feab49a,19,19,"""ITA occupies a unique position in the flight search business, it's far and away the leading technology,"" said Tom Barnett, a former head of the DoJ's antitrust division who is advising Expedia, one of the strongest critics of the deal.","['Initial', 'jobless', 'claims', 'edged', 'up', 'by', '18,000', 'to', 'a', 'total', 'of', '409,000', 'last', 'week', ',', 'but', 'the', 'number', 'of', 'people', 'continuing', 'to', 'claim', 'unemployment', 'benefits', 'fell', '.']","['JJ', 'JJ', 'NNS', 'VBD', 'RP', 'IN', 'CD', 'IN', 'DT', 'NN', 'IN', 'CD', 'JJ', 'NN', ',', 'CC', 'DT', 'NN', 'IN', 'NNS', 'VBG', 'TO', 'VB', 'NN', 'NNS', 'VBD', '.']","['B-NP', 'I-NP', 'I-NP', 'B-VP', 'B-ADVP', 'B-PP', 'B-NP', 'B-PP', 'B-NP', 'I-NP', 'B-PP', 'B-NP', 'B-NP', 'I-NP', 'O', 'O', 'B-NP', 'I-NP', 'B-PP', 'B-NP', 'B-VP', 'I-VP', 'I-VP', 'B-NP', 'I-NP', 'B-VP', 'O']","['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[['DoJ', -1], ['Expedia', ['002MY0-E']]]",[nan],[nan],[nan],[nan],0.00847457627118644,0.00423728813559322,0.0,0.00423728813559322,0.0,0.0,0.00423728813559322,0.0,0.00423728813559322,0.00423728813559322
Financial Times,1/6/2011,https://www.ft.com/content/37d31b96-1a0b-11e0-a8d8-00144feab49a,19,20,"An outright purchase of ITA by Google ""would give it control of the industry"", he added.","['The', 'report', 'was', 'slightly', 'better', 'than', 'average', 'forecasts', '.']","['DT', 'NN', 'VBD', 'RB', 'JJR', 'IN', 'JJ', 'NNS', '.']","['B-NP', 'I-NP', 'B-VP', 'B-ADJP', 'I-ADJP', 'B-PP', 'B-NP', 'I-NP', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[['ITA', ['05HSSJ-E']], ['Google', ['003JLG-E']]]",['RDQ Economics'],[' said John Ryding'],['stock'],[0.09091416],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Financial Times,1/6/2011,https://www.ft.com/content/37d31b96-1a0b-11e0-a8d8-00144feab49a,19,21,"""While we continue to co-operate with the justice department's review, we are ultimately confident that this acquisition will increase competition,"" Google said in a statement.","['""', 'The', 'average', 'level', 'of', 'initial', 'claims', 'in', 'December', 'was', 'the', 'lowest', 'monthly', 'average', 'since', 'July', '2008', 'and', 'this', ',', 'combined', 'with', 'other', 'labour', 'market', 'readings', 'for', 'the', 'month', ',', 'leaves', 'us', 'comfortable', 'with', 'our', 'forecast', 'for', 'a', '175,000', 'increase', 'in', 'private', 'payrolls', 'in', 'December', ',""', 'said', 'John', 'Ryding', 'of', 'RDQ', 'Economics', '.']","['``', 'DT', 'JJ', 'NN', 'IN', 'JJ', 'NNS', 'IN', 'NNP', 'VBD', 'DT', 'JJS', 'JJ', 'NN', 'IN', 'NNP', 'CD', 'CC', 'DT', ',', 'VBN', 'IN', 'JJ', 'NN', 'NN', 'NNS', 'IN', 'DT', 'NN', ',', 'VBZ', 'PRP', 'JJ', 'IN', 'PRP$', 'NN', 'IN', 'DT', 'CD', 'NN', 'IN', 'JJ', 'NNS', 'IN', 'NNP', 'NFP', 'VBD', 'NNP', 'NNP', 'IN', 'NNP', 'NNP', '.']","['O', 'B-NP', 'I-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'B-PP', 'B-NP', 'B-VP', 'B-NP', 'I-NP', 'I-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'O', 'B-NP', 'O', 'B-PP', 'B-PP', 'B-NP', 'I-NP', 'I-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'O', 'B-VP', 'B-NP', 'B-ADJP', 'B-PP', 'B-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'B-PP', 'B-NP', 'O', 'B-VP', 'B-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'O']","['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[['Google', ['003JLG-E']]]",['Metro PCS'],[' Metro PCS announced its fourth-quarter subscriber results'],['markets'],[0.03306818],0.005681818181818182,0.0,0.0,0.005681818181818182,0.0,0.0,0.0,0.005681818181818182,0.0,0.005681818181818182
Financial Times,1/6/2011,https://www.ft.com/content/37d31b96-1a0b-11e0-a8d8-00144feab49a,19,22,"However, such a move does not show that the DoJ's staff will definitely challenge the transaction.","['Telecoms', 'stocks', 'led', 'the', 'fallers', ',', 'down', '2.8', 'per', 'cent', ',', 'after', 'Metro', 'PCS', 'announced', 'its', 'fourth-quarter', 'subscriber', 'results', ',', 'which', 'missed', 'expectations', ',', 'sending', 'its', 'shares', 'tumbling', '6.7', 'per', 'cent', 'to', '$', '13.30', '.']","['NNS', 'NNS', 'VBD', 'DT', 'NNS', ',', 'RB', 'CD', 'NN', 'NN', ',', 'IN', 'NNP', 'NNP', 'VBD', 'PRP$', 'JJ', 'NN', 'NNS', ',', 'WDT', 'VBD', 'NNS', ',', 'VBG', 'PRP$', 'NNS', 'VBG', 'CD', 'NN', 'NN', 'IN', '$', 'CD', '.']","['B-NP', 'I-NP', 'B-VP', 'B-NP', 'I-NP', 'O', 'B-ADVP', 'B-NP', 'I-NP', 'I-NP', 'O', 'B-SBAR', 'B-NP', 'I-NP', 'B-VP', 'B-NP', 'I-NP', 'I-NP', 'I-NP', 'O', 'B-NP', 'B-VP', 'B-NP', 'O', 'B-VP', 'B-NP', 'I-NP', 'B-VP', 'B-NP', 'I-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[['DoJ', -1]]","['Metro', 'AT & T', 'Verizon']","[' fell , with AT & T', ' fell , with AT & T', ' Verizon losing 2.6 per cent']","['corporate', 'corporate', 'corporate']","[-0.95651466, -0.95651466, -0.78796214]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010204081632653059
Financial Times,1/6/2011,https://www.ft.com/content/37d31b96-1a0b-11e0-a8d8-00144feab49a,19,23,"Google faced similar close scrutiny of its acquisition of mobile advertising company Admob  last year, with the Federal Trade Commission going as far as to build a case against the deal before eventually clearing it.","['Metro', ""'s"", 'rivals', 'also', 'fell', ',', 'with', 'AT', '&', 'T', 'down', '1.4', 'per', 'cent', 'to', '$', '29.15', 'and', 'Verizon', 'losing', '2.6', 'per', 'cent', 'to', '$', '36.23', '.']","['NNP', 'POS', 'NNS', 'RB', 'VBD', ',', 'IN', 'NNP', 'CC', 'NNP', 'RB', 'CD', 'NN', 'NN', 'IN', '$', 'CD', 'CC', 'NNP', 'VBG', 'CD', 'NN', 'NN', 'IN', '$', 'CD', '.']","['B-NP', 'B-NP', 'I-NP', 'B-ADVP', 'B-VP', 'O', 'B-PP', 'B-NP', 'I-NP', 'I-NP', 'B-ADVP', 'B-NP', 'I-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'O', 'B-NP', 'B-VP', 'B-NP', 'I-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[['Google', ['003JLG-E']], ['Admob', ['003JLG-E']], ['the Federal Trade Commission', -1]]",['BP'],[' BP dipped 0.6 per cent'],['corporate'],[-0.8376173000000001],0.009259259259259259,0.0046296296296296285,0.0,0.0046296296296296285,0.0,0.0046296296296296285,0.0046296296296296285,0.0046296296296296285,0.0046296296296296285,0.009259259259259259
Financial Times,1/6/2011,https://www.ft.com/content/37d31b96-1a0b-11e0-a8d8-00144feab49a,19,24,"An alliance of online companies, including Expedia, Travelocity and Microsoft, have joined forces to lobby against the ITA deal.","['US-listed', 'shares', 'in', 'BP', 'dipped', '0.6', 'per', 'cent', 'to', '$', '46.23', 'after', 'rising', 'in', 'the', 'session', '.']","['JJ', 'NNS', 'IN', 'NNP', 'VBD', 'CD', 'NN', 'NN', 'IN', '$', 'CD', 'IN', 'VBG', 'IN', 'DT', 'NN', '.']","['B-NP', 'I-NP', 'B-PP', 'B-NP', 'B-VP', 'B-NP', 'I-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'B-PP', 'B-VP', 'B-PP', 'B-NP', 'I-NP', 'O']","['O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[['Expedia', ['002MY0-E']], ['Travelocity', -1], ['Microsoft', ['000Q07-E']], ['ITA', ['05HSSJ-E']]]","['BP', 'Macondo']","[' other companies led to the Macondo well blow-out', ' other companies led to the Macondo well blow-out']","['corporate', 'corporate']","[-0.8476638000000001, -0.8476638000000001]",0.015625,0.0,0.0,0.0078125,0.0,0.0,0.0078125,0.0,0.0078125,0.0078125
Financial Times,1/6/2011,https://www.ft.com/content/38eaa9fa-35db-38f0-9f5b-953ad8efab92,19,25,"When one of the owners of Quan An Ngon, a popular restaurant group that sells upmarket street food to tourists and office workers, broke away with the group's Hanoi outlet under the existing brand name, the other shareholders turned to their lawyer.","['The', 'official', 'US', 'inquiry', 'into', 'the', 'Gulf', 'of', 'Mexico', 'oil', 'spill', 'concluded', 'that', 'systemic', 'failures', 'by', 'the', 'management', 'of', 'BP', 'and', 'other', 'companies', 'led', 'to', 'the', 'Macondo', 'well', 'blow-out', '.']","['DT', 'JJ', 'NNP', 'NN', 'IN', 'DT', 'NNP', 'IN', 'NNP', 'NN', 'NN', 'VBD', 'IN', 'JJ', 'NNS', 'IN', 'DT', 'NN', 'IN', 'NNP', 'CC', 'JJ', 'NNS', 'VBD', 'IN', 'DT', 'NNP', 'NN', 'NN', '.']","['B-NP', 'I-NP', 'I-NP', 'I-NP', 'B-PP', 'O', 'O', 'B-PP', 'B-NP', 'B-NP', 'I-NP', 'B-VP', 'B-SBAR', 'B-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'B-PP', 'B-NP', 'O', 'B-NP', 'I-NP', 'B-VP', 'B-PP', 'B-NP', 'I-NP', 'I-NP', 'I-NP', 'O']","['O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[['Quan An Ngon', -1]]","['Transocean', 'Halliburton']","[' were also criticised by the report', ' were also criticised by the report']","['stock', 'stock']","[-0.86169314, -0.86169314]",0.004016064257028112,0.008032128514056224,0.004016064257028112,0.0,0.004016064257028112,0.008032128514056224,0.004016064257028112,0.004016064257028112,0.0,0.004016064257028112
Financial Times,1/6/2011,https://www.ft.com/content/38eaa9fa-35db-38f0-9f5b-953ad8efab92,19,26,"Five of the top 10 consumer brands in Vietnam are Vietnamese, according to a survey by Nielsen, the market research group, including Vietcombank, a large state-owned bank, and dairy products group Vinamilk.","['Transocean', 'and', 'Halliburton', ',', 'contractors', 'on', 'the', 'project', ',', 'were', 'also', 'criticised', 'by', 'the', 'report', '.']","['NNP', 'CC', 'NNP', ',', 'NNS', 'IN', 'DT', 'NN', ',', 'VBD', 'RB', 'VBN', 'IN', 'DT', 'NN', '.']","['B-NP', 'I-NP', 'I-NP', 'O', 'B-NP', 'B-PP', 'B-NP', 'I-NP', 'O', 'B-VP', 'I-VP', 'I-VP', 'B-PP', 'B-NP', 'I-NP', 'O']","['B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[['Nielsen', -1], ['Vietcombank', -1], ['Vinamilk', -1]]","['Transocean', 'Halliburton']","[' Transocean edged down 0.3 per cent', ' Halliburton lost 3 per cent']","['corporate', 'stock']","[-0.9188255, -0.6973387]",0.009708737864077669,0.0,0.0,0.0048543689320388345,0.0,0.0,0.0,0.0,0.0,0.014563106796116504
Financial Times,1/6/2011,https://www.ft.com/content/38eaa9fa-35db-38f0-9f5b-953ad8efab92,19,27,"As consumers become more affluent and discerning, ""local brands continue to have greater importance and equity in the marketplace,"" said Darin Williams, managing director of Nielsen Vietnam.","['Transocean', 'edged', 'down', '0.3', 'per', 'cent', 'to', '$', '73.04', 'but', 'Halliburton', 'lost', '3', 'per', 'cent', 'to', '$', '38.22', '.']","['NNP', 'VBD', 'RP', 'CD', 'NN', 'NN', 'IN', '$', 'CD', 'CC', 'NNP', 'VBD', 'CD', 'NN', 'NN', 'IN', '$', 'CD', '.']","['B-NP', 'B-VP', 'B-ADVP', 'B-NP', 'I-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'O', 'B-NP', 'B-VP', 'B-NP', 'I-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'O']","['B-PER', 'I-PER', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[['Nielsen Vietnam', -1]]",[nan],[nan],[nan],[nan],0.015789473684210527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005263157894736842
Financial Times,1/6/2011,https://www.ft.com/content/38eaa9fa-35db-38f0-9f5b-953ad8efab92,19,28,"""Many cases get resolved out of court but more and more often you see cases settled in the courtroom,"" said Phung Anh Tuan, managing partner of VCI Legal, a Vietnamese law firm.","['The', 'S', '&', 'P', '500', 'energy', 'index', ',', 'which', 'has', 'suffered', 'this', 'week', 'as', 'the', 'oil', 'price', 'fell', ',', 'dropped', '0.7', 'per', 'cent', '.']","['DT', 'NNP', 'CC', 'NNP', 'CD', 'NN', 'NN', ',', 'WDT', 'VBZ', 'VBN', 'DT', 'NN', 'IN', 'DT', 'NN', 'NN', 'VBD', ',', 'VBD', 'CD', 'NN', 'NN', '.']","['B-NP', 'I-NP', 'I-NP', 'I-NP', 'I-NP', 'I-NP', 'I-NP', 'O', 'B-NP', 'B-VP', 'I-VP', 'B-NP', 'I-NP', 'B-SBAR', 'B-NP', 'I-NP', 'I-NP', 'B-VP', 'O', 'B-VP', 'B-NP', 'I-NP', 'I-NP', 'O']","['O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[['VCI Legal', -1]]",['Massey Energy'],[' Coal producer Massey Energy sunk 3.1 per cent'],['stock'],[0.5300453],0.011299435028248588,0.011299435028248588,0.005649717514124294,0.005649717514124294,0.0,0.01694915254237288,0.0,0.011299435028248588,0.0,0.011299435028248588
Financial Times,1/6/2011,https://www.ft.com/content/38eaa9fa-35db-38f0-9f5b-953ad8efab92,19,29,"In one high-profile case, Vincom, one of Vietnam's biggest property developers, filed a lawsuit against Vincon, a smaller and less well-known property group, for brand infringement.","['Coal', 'producer', 'Massey', 'Energy', 'sunk', '3.1', 'per', 'cent', 'to', '$', '54.65', 'even', 'though', 'it', 'said', 'fourth-quarter', 'coal', 'shipments', 'were', 'lower', 'than', 'it', 'had', 'previously', 'projected', '.']","['NN', 'NN', 'NNP', 'NNP', 'VBD', 'CD', 'NN', 'NN', 'IN', '$', 'CD', 'RB', 'IN', 'PRP', 'VBD', 'JJ', 'NN', 'NNS', 'VBD', 'JJR', 'IN', 'PRP', 'VBD', 'RB', 'VBN', '.']","['B-NP', 'I-NP', 'I-NP', 'I-NP', 'B-VP', 'B-NP', 'I-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'B-SBAR', 'I-SBAR', 'B-NP', 'B-VP', 'B-NP', 'I-NP', 'I-NP', 'B-VP', 'B-ADJP', 'B-SBAR', 'B-NP', 'B-VP', 'I-VP', 'I-VP', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[['Vincon', -1]]","[""Moody 's""]",[' jumped 8.6 per cent'],['markets'],[0.675012],0.0055248618784530384,0.011049723756906077,0.0055248618784530384,0.0055248618784530384,0.0055248618784530384,0.011049723756906077,0.0,0.011049723756906077,0.0055248618784530384,0.0
Financial Times,1/6/2011,https://www.ft.com/content/38eaa9fa-35db-38f0-9f5b-953ad8efab92,19,30,"In November, Vincom alleged that Vincon, which was established after its near namesake, was trying to capitalise on its reputation.","['Moody', ""'s"", ',', 'the', 'credit', 'rating', 'agency', ',', 'jumped', '8.6', 'per', 'cent', 'to', '$', '29.67', 'after', 'it', 'raised', 'its', 'earnings', 'forecast', 'for', '2010', 'to', 'at', 'least', '$', '2.08', 'per', 'share', 'from', 'a', 'previous', 'maximum', 'of', '$', '1.96', '.']","['NNP', 'POS', ',', 'DT', 'NN', 'NN', 'NN', ',', 'VBD', 'CD', 'NN', 'NN', 'IN', '$', 'CD', 'IN', 'PRP', 'VBD', 'PRP$', 'NNS', 'NN', 'IN', 'CD', 'IN', 'RB', 'RBS', '$', 'CD', 'IN', 'NN', 'IN', 'DT', 'JJ', 'NN', 'IN', '$', 'CD', '.']","['B-NP', 'B-NP', 'O', 'B-NP', 'I-NP', 'I-NP', 'I-NP', 'O', 'B-VP', 'B-NP', 'I-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'B-SBAR', 'B-NP', 'B-VP', 'B-NP', 'I-NP', 'I-NP', 'B-PP', 'B-NP', 'B-PP', 'B-NP', 'I-NP', 'I-NP', 'I-NP', 'B-PP', 'B-NP', 'B-PP', 'B-NP', 'I-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[['Vincom', -1], ['Vincon', -1]]",[nan],[nan],[nan],[nan],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076335877862595426
Financial Times,1/6/2011,https://www.ft.com/content/38eaa9fa-35db-38f0-9f5b-953ad8efab92,20,1,"Bui Duc Long, chief executive of Vincon, said that while the two company names were ""easy to confuse"", his was not a ""copycat"" and had registered in the proper manner with all the appropriate authorities.","['So', 'here', ""'s"", 'a', 'question', ':', 'will', '2010', 'have', 'sounded', 'the', 'death', 'knell', 'of', 'premium', 'denim', ',', 'or', 'will', 'it', 'experience', 'a', 'revival', 'in', '2011', '?']","['RB', 'RB', 'VBZ', 'DT', 'NN', ':', 'MD', 'CD', 'VB', 'VBN', 'DT', 'NN', 'NN', 'IN', 'JJ', 'NN', ',', 'CC', 'MD', 'PRP', 'VB', 'DT', 'NN', 'IN', 'CD', '.']","['O', 'B-ADVP', 'B-VP', 'B-NP', 'I-NP', 'O', 'O', 'B-NP', 'B-VP', 'I-VP', 'B-NP', 'I-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'O', 'O', 'O', 'B-NP', 'B-VP', 'B-NP', 'I-NP', 'B-PP', 'B-NP', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[['Vincon', -1]]",[nan],[nan],[nan],[nan],0.00980392156862745,0.004901960784313725,0.004901960784313725,0.004901960784313725,0.004901960784313725,0.0,0.0,0.0,0.0,0.004901960784313725
Financial Times,1/6/2011,https://www.ft.com/content/38eaa9fa-35db-38f0-9f5b-953ad8efab92,20,2,"""Vietnam has a pretty well-developed system of intellectual property rights protection and regulation in terms of the legal framework and what is required under the World Trade Organisation and international conventions on patents, copyright and trademarks,"" said Mr Tuan.","['Should', 'Diesel', ""'s"", 'Renzo', 'Rosso', 'be', 'quaking', 'in', 'his', 'boots', '?']","['MD', 'NNP', 'POS', 'NNP', 'NNP', 'VB', 'VBG', 'IN', 'PRP$', 'NNS', '.']","['O', 'B-NP', 'B-NP', 'I-NP', 'I-NP', 'B-VP', 'I-VP', 'B-PP', 'B-NP', 'I-NP', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[['the World Trade Organisation', -1]]",['Diesel'],"["" Diesel 's Renzo Rosso be quaking in his boots""]",['corporate'],[-0.5698414],0.014705882352941175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018382352941176468
Financial Times,1/6/2011,https://www.ft.com/content/38eaa9fa-35db-38f0-9f5b-953ad8efab92,20,3,"In its latest annual review of the business climate in Vietnam, the European Chamber of Commerce warned the situation with regards to intellectual property rights remained ""troubling"" and that it threatened the country's long-term competitiveness by ""impeding the development of a culture of innovation"".","['A', 'new', 'report', 'from', 'Ledbury', 'Research', 'suggests', 'the', 'former', ',', 'saying', 'that', 'despite', 'the', 'recovery', 'of', 'the', 'luxury', 'market', '(', 'in', 'the', 'US', ',', 'luxury', 'spend', 'as', 'a', 'whole', 'was', 'up', '24.0', '%', 'on', 'Cyber', 'Monday', 'this', 'year', 'compared', 'to', '2009', ')', ',', 'high-end', 'jeans', 'prices', 'fell', '2', '%', 'in', 'the', 'Uk', 'and', '9', '%', 'in', 'the', 'US', 'as', 'consumers', 'shied', 'away', 'from', 'over-paying', 'for', 'their', 'pants', '.']","['DT', 'JJ', 'NN', 'IN', 'NNP', 'NNP', 'VBZ', 'DT', 'JJ', ',', 'VBG', 'IN', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', 'NN', ',', 'IN', 'DT', 'NNP', ',', 'NN', 'NN', 'IN', 'DT', 'NN', 'VBD', 'RB', 'CD', 'NN', 'IN', 'NNP', 'NNP', 'DT', 'NN', 'VBN', 'IN', 'CD', '-RRB-', ',', 'JJ', 'NNS', 'NNS', 'VBD', 'CD', 'NN', 'IN', 'DT', 'NNP', 'CC', 'CD', 'NN', 'IN', 'DT', 'NNP', 'IN', 'NNS', 'VBD', 'RB', 'IN', 'VBG', 'IN', 'PRP$', 'NNS', '.']","['B-NP', 'I-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'B-VP', 'B-NP', 'I-NP', 'O', 'B-VP', 'B-SBAR', 'B-PP', 'B-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'I-NP', 'O', 'B-PP', 'B-NP', 'I-NP', 'O', 'B-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'B-VP', 'B-ADVP', 'B-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'B-NP', 'I-NP', 'B-PP', 'B-PP', 'B-NP', 'O', 'O', 'B-NP', 'I-NP', 'I-NP', 'B-VP', 'B-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'O', 'B-NP', 'I-NP', 'B-PP', 'B-NP', 'I-NP', 'B-SBAR', 'B-NP', 'B-VP', 'B-ADVP', 'B-PP', 'B-VP', 'B-PP', 'B-NP', 'I-NP', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'O', 'B-ORG', 'I-ORG', 'O']","[['the European Chamber of Commerce', -1]]",['Ledbury Research'],[' Ledbury Research suggests the former'],['stock'],[0.18652242],0.003289473684210526,0.006578947368421052,0.003289473684210526,0.009868421052631578,0.0,0.006578947368421052,0.0,0.0,0.003289473684210526,0.003289473684210526
